OrderID,CustomerID,Product,Category,Quantity,Price,OrderDate
1,C001,Shirt,Clothing,2,25.5,2024-01-05
2,C002,Laptop,Electronics,1,750.0,2024-01-07
3,C003,Shoes,Footwear,1,50.0,2024-01-10
4,C001,Headphones,Electronics,2,100.0,2024-01-15
5,C004,Jeans,Clothing,1,40.0,2024-01-16
6,C005,T-shirt,Clothing,3,20.0,2024-01-20
7,C006,Mobile,Electronics,1,600.0,2024-01-22
8,C002,Mouse,Electronics,2,25.0,2024-01-25
9,C007,Watch,Accessories,1,120.0,2024-01-28
10,C008,Sandals,Footwear,2,30.0,2024-01-30
11,C009,Laptop,Electronics,1,800.0,2024-02-02
12,C010,Shirt,Clothing,2,25.5,2024-02-04
13,C003,Shoes,Footwear,2,50.0,2024-02-07
14,C011,Headphones,Electronics,1,100.0,2024-02-09
15,C002,Keyboard,Electronics,1,45.0,2024-02-10
16,C004,Jeans,Clothing,2,40.0,2024-02-12
17,C005,T-shirt,Clothing,1,20.0,2024-02-15
18,C012,Mobile,Electronics,1,620.0,2024-02-18
19,C007,Watch,Accessories,1,150.0,2024-02-20
20,C013,Sandals,Footwear,3,30.0,2024-02-23
21,C001,Laptop,Electronics,1,700.0,2024-03-01
22,C014,Shirt,Clothing,1,25.5,2024-03-03
23,C010,Shoes,Footwear,1,55.0,2024-03-05
24,C015,Headphones,Electronics,2,95.0,2024-03-06
25,C004,Jeans,Clothing,1,42.0,2024-03-09
26,C016,Mouse,Electronics,1,30.0,2024-03-10
27,C005,T-shirt,Clothing,2,22.0,2024-03-12
28,C017,Mobile,Electronics,1,640.0,2024-03-14
29,C018,Watch,Accessories,1,135.0,2024-03-16
30,C019,Sandals,Footwear,2,35.0,2024-03-18
31,C020,Laptop,Electronics,1,780.0,2024-03-20
32,C021,Shirt,Clothing,3,24.0,2024-03-22
33,C022,Shoes,Footwear,2,52.0,2024-03-25
34,C023,Headphones,Electronics,1,105.0,2024-03-26
35,C024,Keyboard,Electronics,1,50.0,2024-03-28
36,C025,Jeans,Clothing,2,39.0,2024-03-30
37,C026,T-shirt,Clothing,2,21.0,2024-04-01
38,C027,Mobile,Electronics,1,610.0,2024-04-03
39,C028,Watch,Accessories,1,140.0,2024-04-05
40,C029,Sandals,Footwear,1,33.0,2024-04-07
41,C030,Laptop,Electronics,1,770.0,2024-04-09
42,C031,Shirt,Clothing,1,23.5,2024-04-11
43,C032,Shoes,Footwear,2,54.0,2024-04-13
44,C033,Headphones,Electronics,1,99.0,2024-04-15
45,C034,Mouse,Electronics,2,27.0,2024-04-16
46,C035,Jeans,Clothing,1,41.0,2024-04-18
47,C036,T-shirt,Clothing,1,19.0,2024-04-20
48,C037,Mobile,Electronics,1,630.0,2024-04-22
49,C038,Watch,Accessories,1,125.0,2024-04-24
50,C039,Sandals,Footwear,2,31.0,2024-04-26
51,C040,Laptop,Electronics,1,795.0,2024-04-28
52,C041,Shirt,Clothing,2,26.0,2024-04-29
53,C042,Shoes,Footwear,1,53.0,2024-05-01
54,C043,Headphones,Electronics,1,110.0,2024-05-02
55,C044,Keyboard,Electronics,1,48.0,2024-05-03
56,C045,Jeans,Clothing,1,44.0,2024-05-05
57,C046,T-shirt,Clothing,2,20.0,2024-05-06
58,C047,Mobile,Electronics,1,645.0,2024-05-07
59,C048,Watch,Accessories,1,155.0,2024-05-08
60,C049,Sandals,Footwear,3,34.0,2024-05-09
61,C050,Laptop,Electronics,1,765.0,2024-05-10
62,C051,Shirt,Clothing,2,24.5,2024-05-12
63,C052,Shoes,Footwear,1,51.0,2024-05-13
64,C053,Headphones,Electronics,2,108.0,2024-05-14
65,C054,Mouse,Electronics,1,28.0,2024-05-15
66,C055,Jeans,Clothing,2,42.0,2024-05-17
67,C056,T-shirt,Clothing,3,22.0,2024-05-18
68,C057,Mobile,Electronics,1,655.0,2024-05-19
69,C058,Watch,Accessories,1,138.0,2024-05-20
70,C059,Sandals,Footwear,2,36.0,2024-05-22
71,C060,Laptop,Electronics,1,785.0,2024-05-23
72,C061,Shirt,Clothing,1,25.0,2024-05-24
73,C062,Shoes,Footwear,1,50.0,2024-05-25
74,C063,Headphones,Electronics,1,102.0,2024-05-27
75,C064,Keyboard,Electronics,2,47.0,2024-05-28
76,C065,Jeans,Clothing,1,39.0,2024-05-29
77,C066,T-shirt,Clothing,2,19.5,2024-05-30
78,C067,Mobile,Electronics,1,690.0,2024-06-01
79,C068,Watch,Accessories,1,145.0,2024-06-02
80,C069,Sandals,Footwear,2,32.0,2024-06-03
81,C070,Laptop,Electronics,1,760.0,2024-06-04
82,C071,Shirt,Clothing,1,26.5,2024-06-06
83,C072,Shoes,Footwear,2,55.0,2024-06-07
84,C073,Headphones,Electronics,1,107.0,2024-06-08
85,C074,Mouse,Electronics,2,29.0,2024-06-09
86,C075,Jeans,Clothing,2,41.0,2024-06-10
87,C076,T-shirt,Clothing,1,20.0,2024-06-11
88,C077,Mobile,Electronics,1,670.0,2024-06-12
89,C078,Watch,Accessories,1,150.0,2024-06-13
90,C079,Sandals,Footwear,3,30.0,2024-06-15
91,C080,Laptop,Electronics,1,805.0,2024-06-16
92,C081,Shirt,Clothing,2,24.0,2024-06-17
93,C082,Shoes,Footwear,1,52.0,2024-06-18
94,C083,Headphones,Electronics,2,115.0,2024-06-19
95,C084,Keyboard,Electronics,1,46.0,2024-06-20
96,C085,Jeans,Clothing,1,40.0,2024-06-22
97,C086,T-shirt,Clothing,2,21.0,2024-06-23
98,C087,Mobile,Electronics,1,715.0,2024-06-24
99,C088,Watch,Accessories,1,160.0,2024-06-25
100,C089,Sandals,Footwear,2,35.0,2024-06-26
